Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-15960,13043849,LLAP: Known app masters should be cleaned on queryComplete,prasanth_j,prasanth_j,Major,Resolved,Duplicate,17/Feb/17 03:46,22/Feb/17 19:32,
Bug,HIVE-15958,13043835,LLAP: IPC connections are not being reused for umbilical protocol,prasanth_j,rajesh.balamohan,Major,Closed,Fixed,17/Feb/17 02:23,25/Jul/17 20:05,
Bug,HIVE-15956,13043817,StackOverflowError when drop lots of partitions,dkuzmenko,niklaus.xiao,Major,Closed,Fixed,17/Feb/17 01:01,17/Nov/22 08:55,
Bug,HIVE-15951,13043779,Make sure base persist directory is unique and deleted,bslim,bslim,Critical,Closed,Fixed,16/Feb/17 22:14,25/Jul/17 20:04,
Bug,HIVE-15934,13043428,Downgrade Maven surefire plugin from 2.19.1 to 2.18.1,wzheng,wzheng,Major,Resolved,Fixed,16/Feb/17 00:26,21/Jul/17 18:35,
Bug,HIVE-15924,13043112,move ORC PPD failure message caused by a dynamic value to DEBUG level,prasanth_j,sershe,Major,Resolved,Won't Fix,14/Feb/17 23:18,02/Mar/17 22:28,
Bug,HIVE-15914,13043002,Fix issues with druid-handler pom file,jcamacho,jcamacho,Major,Closed,Fixed,14/Feb/17 17:06,27/Feb/24 22:24,
Bug,HIVE-15906,13042814,thrift code regeneration to include new protocol version,anishek,anishek,Critical,Closed,Fixed,14/Feb/17 04:48,30/Aug/17 18:42,
Bug,HIVE-15900,13042708,Beeline prints tez job progress in stdout instead of stderr,thejas,asreekumar,Major,Closed,Fixed,13/Feb/17 22:40,24/Jun/20 00:27,
Bug,HIVE-15891,13042642,Detect query rewrite scenario for UPDATE/DELETE/MERGE and fail fast,wzheng,wzheng,Major,Closed,Fixed,13/Feb/17 18:52,25/Jul/17 20:05,
Bug,HIVE-15886,13042356,LLAP: Provide logs URL for in-progress and completed task attemtps,prasanth_j,prasanth_j,Major,Closed,Fixed,12/Feb/17 04:54,25/Jul/17 20:04,
Bug,HIVE-15877,13042152,Upload dependency jars for druid storage handler,bslim,bslim,Major,Closed,Fixed,10/Feb/17 19:00,25/Jul/17 20:04,
Bug,HIVE-15863,13041703,"Calendar inside DATE, TIME and TIMESTAMP literals for Calcite should have UTC timezone",jcamacho,jcamacho,Major,Resolved,Duplicate,09/Feb/17 13:31,27/Feb/24 22:13,
Bug,HIVE-15855,13041561,throws NPE when using Hplsql UDF,ferhui,ferhui,Major,Resolved,Fixed,09/Feb/17 01:56,01/Oct/19 22:07,
Bug,HIVE-15850,13041368,Proper handling of timezone in Druid storage handler,jcamacho,jcamacho,Critical,Closed,Fixed,08/Feb/17 12:27,27/Feb/24 22:24,
Bug,HIVE-15849,13041360,hplsql should add enterGlobalScope func to UDF,ferhui,ferhui,Major,Resolved,Fixed,08/Feb/17 12:05,01/Oct/19 22:07,
Bug,HIVE-15847,13041273,In Progress update refreshes seem slow,anishek,anishek,Major,Resolved,Fixed,08/Feb/17 05:06,21/Jul/17 18:36,
Bug,HIVE-15827,13040748,LLAP: status tool breaks out of watch mode when live instances is 0,prasanth_j,prasanth_j,Critical,Closed,Fixed,06/Feb/17 19:50,25/Jul/17 20:04,
Bug,HIVE-15809,13040288,Typo in the PostgreSQL database name for druid service,bslim,bslim,Trivial,Resolved,Fixed,04/Feb/17 00:20,27/Feb/24 22:23,
Bug,HIVE-15807,13040220,MSCK operation hangs in HiveMetaStoreChecker.checkPartitionDirs,pxiong,pattipaka,Major,Resolved,Duplicate,03/Feb/17 19:56,26/Jul/17 15:14,
Bug,HIVE-15806,13040206,Druid schema inference for Select queries might produce wrong type for metrics,jcamacho,jcamacho,Major,Closed,Fixed,03/Feb/17 19:15,27/Feb/24 22:23,
Bug,HIVE-15804,13040171,Druid handler might not recognize correct column type when CBO fails,jcamacho,jcamacho,Major,Closed,Fixed,03/Feb/17 16:58,27/Feb/24 22:23,
Bug,HIVE-15782,13039554,query on parquet table returns incorrect result when hive.optimize.index.filter is set to true ,aihuaxu,aihuaxu,Major,Resolved,Fixed,01/Feb/17 18:46,21/Jul/17 18:36,
