Bug ID,Version,File
HIVE-21344,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/ddl/view/DropMaterializedViewOperation.java
HIVE-21344,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/ddl/view/MaterializedViewUpdateOperation.java
HIVE-21344,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java
HIVE-21325,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ExternalTableCopyTaskBuilder.java
HIVE-21307,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplTableMigrationWithJsonFormat.java
HIVE-21301,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-21301,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java
HIVE-21301,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/plan/ShowTablesDesc.java
HIVE-21293,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/parse/TestSQL11ReservedKeyWordsNegative.java
HIVE-21260,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-21254,4.0.0,upgrade-acid/pre-upgrade/src/main/java/org/apache/hadoop/hive/upgrade/acid/PreUpgradeTool.java
HIVE-21254,4.0.0,upgrade-acid/pre-upgrade/src/test/java/org/apache/hadoop/hive/upgrade/acid/TestPreUpgradeTool.java
HIVE-21035,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkUtilities.java
HIVE-21035,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/exec/spark/TestSparkUtilities.java
HIVE-20969,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HiveSparkClientFactory.java
HIVE-20969,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/exec/spark/session/TestSparkSessionManagerImpl.java
HIVE-20953,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionTask.java
HIVE-20948,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-20915,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/spark/SparkCompiler.java
HIVE-20911,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplTableMigrationWithJsonFormat.java
HIVE-20911,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationWithTableMigration.java
HIVE-20911,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ExternalTableCopyTaskBuilder.java
HIVE-20833,4.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java
HIVE-20742,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/exec/spark/TestSparkSessionTimeout.java
HIVE-20742,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/session/SparkSessionManagerImpl.java
HIVE-20607,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/tools/SQLGenerator.java
HIVE-20607,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
