Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,AbstractExpression.java,2.0,9.0,0.0,9.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,12.0,,,,13.0,13.0,2.0,,,,13.0,,,0.0,,0.0,11.0,2.0,,168.0,17.0,138.0,64.0,68.0,13.0,,,,97.0,123.0,65.0,,76.0,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,,,0.09,25.0,25.0,25.0,25.0,12.0
0,AbstractFileMergeOperator.java,3.0,21.0,1.0,15.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,3.0,12.0,,,,12.0,11.0,16.0,,,,12.0,,,0.0,,2.0,4.0,6.0,,325.0,25.0,216.0,75.0,128.0,84.0,,,,118.0,155.0,68.0,,104.0,,,,,,11.0,11.0,12.0,12.0,1.0,,6.0,,,0.39,36.0,36.0,39.0,39.0,12.0
0,AbstractFilterStringColLikeStringScalar.java,3.0,12.0,1.0,11.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,1.0,28.0,,,,31.0,31.0,20.0,,,,31.0,,,9.0,,1.0,1.0,20.0,,523.0,66.0,354.0,115.0,193.0,105.0,,,,177.0,261.0,118.0,,152.0,,,,,,24.0,24.0,24.0,24.0,6.0,,5.0,,,0.3,73.0,73.0,77.0,77.0,40.0
0,AbstractGenericUDAFResolver.java,2.0,9.0,1.0,8.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,57.0,6.0,24.0,13.0,6.0,27.0,,,,6.0,10.0,6.0,,4.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,1.13,3.0,3.0,3.0,3.0,2.0
0,AbstractGenericUDFEWAHBitmapBop.java,2.0,15.0,1.0,13.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,7.0,7.0,3.0,,,,7.0,,,1.0,,0.0,3.0,3.0,,146.0,19.0,106.0,49.0,58.0,21.0,,,,59.0,75.0,46.0,,43.0,,,,,,4.0,4.0,4.0,4.0,1.0,,1.0,,,0.2,14.0,14.0,14.0,14.0,6.0
0,AbstractGenericUDFReflect.java,3.0,15.0,0.0,14.0,1.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,4.0,,,,5.0,5.0,4.0,,,,5.0,,,3.0,,0.0,1.0,1.0,,108.0,11.0,71.0,25.0,37.0,26.0,,,,40.0,54.0,27.0,,29.0,,,,,,6.0,6.0,13.0,13.0,6.0,,3.0,,,0.37,13.0,13.0,20.0,20.0,9.0
0,AbstractHBaseKeyFactory.java,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,3.0,,,,3.0,3.0,3.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,53.0,8.0,28.0,19.0,5.0,17.0,,,,17.0,21.0,16.0,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.61,3.0,3.0,3.0,3.0,3.0
0,AbstractHBaseKeyPredicateDecomposer.java,2.0,16.0,2.0,12.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,3.0,3.0,0.0,,,,3.0,,,0.0,,0.0,2.0,1.0,,80.0,10.0,38.0,19.0,18.0,32.0,,,,25.0,30.0,18.0,,16.0,,,,,,3.0,3.0,3.0,3.0,3.0,,2.0,,,0.84,4.0,4.0,4.0,4.0,4.0
0,AbstractHCatLoaderTest.java,2.0,22.0,1.0,19.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,8.0,13.0,27.0,,,,28.0,20.0,2.0,,,,28.0,,,5.0,,7.0,0.0,16.0,,746.0,69.0,612.0,206.0,447.0,80.0,,,,424.0,485.0,193.0,,360.0,,,,,,5.0,5.0,6.0,6.0,5.0,,4.0,,,0.13,56.0,56.0,58.0,58.0,31.0
0,AbstractHCatStorerTest.java,3.0,29.0,2.0,25.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,3.0,34.0,,,,35.0,34.0,1.0,,,,35.0,,,6.0,,0.0,0.0,29.0,,1096.0,110.0,890.0,276.0,679.0,104.0,,,,574.0,664.0,244.0,,503.0,,,,,,11.0,10.0,11.0,10.0,4.0,,2.0,,,0.12,91.0,90.0,91.0,90.0,37.0
