Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,HiveInsertExchange4JoinRule.java,8.0,39.0,3.0,35.0,2.0,8.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,3.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,150.0,15.0,104.0,53.0,55.0,31.0,,,,63.0,83.0,51.0,,47.0,,,,,,15.0,15.0,15.0,15.0,8.0,,4.0,,,0.3,16.0,16.0,16.0,16.0,9.0
0,HiveInterruptCallback.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,,1.0,,,1.0,,0.0,0.0,0.0,,26.0,2.0,4.0,3.0,0.0,20.0,,,,2.0,3.0,3.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.0,0.0,0.0,0.0,0.0,0.0
0,HiveInterruptUtils.java,2.0,9.0,0.0,8.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,1.0,4.0,,,,4.0,0.0,0.0,,,,4.0,,,0.0,,0.0,0.0,4.0,,70.0,8.0,36.0,10.0,17.0,26.0,,,,13.0,25.0,11.0,,15.0,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,,,0.72,7.0,7.0,7.0,7.0,4.0
0,HiveIntervalDayTime.java,2.0,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,2.0,25.0,,,,25.0,24.0,2.0,,,,25.0,,,0.0,,0.0,2.0,23.0,,253.0,36.0,174.0,65.0,94.0,43.0,,,,81.0,119.0,57.0,,72.0,,,,,,7.0,7.0,8.0,8.0,3.0,,4.0,,,0.25,39.0,39.0,43.0,43.0,27.0
0,HiveIntervalDayTimeObjectInspector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,,2.0,,,2.0,,0.0,0.0,0.0,,32.0,4.0,8.0,7.0,0.0,20.0,,,,6.0,7.0,7.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.5,0.0,0.0,0.0,0.0,0.0
0,HiveIntervalDayTimeWritable.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,16.0,,,,16.0,16.0,1.0,,,,16.0,,,0.0,,0.0,0.0,16.0,,123.0,22.0,82.0,39.0,26.0,19.0,,,,37.0,56.0,32.0,,26.0,,,,,,3.0,3.0,3.0,3.0,3.0,,1.0,,,0.23,18.0,18.0,18.0,18.0,18.0
0,HiveIntervalYearMonth.java,2.0,6.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,3.0,17.0,,,,17.0,16.0,1.0,,,,17.0,,,0.0,,0.0,1.0,16.0,,161.0,28.0,106.0,41.0,53.0,27.0,,,,42.0,67.0,34.0,,39.0,,,,,,5.0,5.0,6.0,6.0,3.0,,3.0,,,0.25,26.0,26.0,27.0,27.0,19.0
0,HiveIntervalYearMonthObjectInspector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,,2.0,,,2.0,,0.0,0.0,0.0,,32.0,4.0,8.0,7.0,0.0,20.0,,,,6.0,7.0,7.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.5,0.0,0.0,0.0,0.0,0.0
0,HiveIntervalYearMonthWritable.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,16.0,,,,16.0,16.0,1.0,,,,16.0,,,0.0,,0.0,0.0,16.0,,119.0,22.0,78.0,38.0,23.0,19.0,,,,33.0,52.0,31.0,,23.0,,,,,,3.0,3.0,3.0,3.0,3.0,,1.0,,,0.24,18.0,18.0,18.0,18.0,18.0
0,HiveJobIDParser.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,2.0,,0.0,0.0,0.0,,37.0,5.0,14.0,9.0,3.0,18.0,,,,7.0,10.0,8.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.29,2.0,2.0,2.0,2.0,2.0
1,HiveJoin.java,2.0,7.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,24.0,,,,22.0,23.0,8.0,,,,24.0,,,0.0,,0.0,1.0,23.0,,254.0,31.0,196.0,92.0,91.0,27.0,,,,97.0,133.0,80.0,,69.0,,,,,,4.0,4.0,9.0,9.0,4.0,,2.0,,,0.14,36.0,36.0,41.0,41.0,25.0
1,HiveJoinAddNotNullRule.java,4.0,33.0,4.0,27.0,2.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,2.0,3.0,,,,3.0,2.0,1.0,,,,3.0,,,0.0,,1.0,0.0,2.0,,164.0,25.0,113.0,67.0,61.0,26.0,,,,75.0,90.0,58.0,,54.0,,,,,,8.0,8.0,9.0,9.0,5.0,,2.0,,,0.23,13.0,13.0,14.0,14.0,9.0
0,HiveJoinCommuteRule.java,5.0,27.0,3.0,19.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,96.0,13.0,51.0,24.0,27.0,32.0,,,,28.0,38.0,22.0,,24.0,,,,,,8.0,8.0,8.0,8.0,8.0,,1.0,,,0.63,9.0,9.0,9.0,9.0,9.0
0,HiveJoinProjectTransposeRule.java,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,6.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,1.0,0.0,0.0,,85.0,11.0,57.0,24.0,37.0,17.0,,,,15.0,17.0,16.0,,7.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.3,1.0,1.0,1.0,1.0,1.0
1,HiveJoinPushTransitivePredicatesRule.java,3.0,17.0,2.0,14.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,2.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,0.0,,2.0,1.0,3.0,,186.0,28.0,126.0,75.0,63.0,32.0,,,,79.0,98.0,66.0,,53.0,,,,,,4.0,4.0,5.0,5.0,1.0,,2.0,,,0.25,15.0,15.0,18.0,18.0,6.0
0,HiveJoinToMultiJoinRule.java,6.0,41.0,2.0,35.0,4.0,6.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,2.0,6.0,,,,6.0,2.0,1.0,,,,6.0,,,0.0,,4.0,0.0,2.0,,331.0,28.0,243.0,94.0,156.0,62.0,,,,146.0,184.0,89.0,,127.0,,,,,,23.0,23.0,27.0,27.0,12.0,,4.0,,,0.26,35.0,35.0,39.0,39.0,22.0
0,HiveKVResultCache.java,3.0,17.0,0.0,16.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,2.0,11.0,,,,11.0,11.0,10.0,,,,11.0,,,0.0,,6.0,0.0,5.0,,267.0,26.0,212.0,58.0,136.0,33.0,,,,123.0,164.0,56.0,,114.0,,,,,,10.0,10.0,12.0,12.0,5.0,,5.0,,,0.16,38.0,38.0,44.0,44.0,18.0
0,HiveKey.java,1.0,5.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,1.0,8.0,,,,8.0,8.0,3.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,88.0,15.0,48.0,20.0,17.0,25.0,,,,20.0,31.0,17.0,,14.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.52,9.0,9.0,9.0,9.0,8.0
0,HiveLock.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,24.0,2.0,5.0,4.0,0.0,17.0,,,,3.0,4.0,4.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.4,0.0,0.0,0.0,0.0,0.0
0,HiveLockManager.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,10.0,10.0,0.0,,,,10.0,,,0.0,,0.0,0.0,10.0,,54.0,8.0,16.0,15.0,0.0,30.0,,,,12.0,13.0,13.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.88,0.0,0.0,0.0,0.0,0.0
